G4A,Gulguluthiktakam Ghritham,200ml,235
G5,Jathyadi Ghritham,450ml,420
G5A,Jathyadi Ghritham,200ml,186
G6,Jeevanthyadi Ghritham,450ml,1722
G6B,Jeevanthyadi Ghritham,200ml,767
G7,Dadimadi Ghritham,450ml,420
G7A,Dadimadi Ghritham,200ml,189
G8,Thikthaka Ghritham,450ml,452
G8A,Thikthaka Ghritham,200ml,200
G9,Thryphala Ghritham,450ml,347
G9A,Thryphala Ghritham,200ml,154
H1,Agasthyarasayanam,500g,154
H10,Chyavanaprasam,500g,168
H10A,Chyavanaprasam,200g,70
H11,Thaleesavadakam,500g,263
H11A,Thaleesavadakam,200g,105
H11E,Thalisavadakam Granules,100g,53
H12,Tharamandooram,200g,133
H13,Dasamoolaharithaki,500g,151
H13A,Dasamoolaharithaki,200g,60
H14,Dasamoolarasayanam,25g,32
H14E,Dasamoolarasayanam,100g,123
H15,Manibhadra Lehyam,500g,158
H15A,Manibhadra Lehyam,200g,63
H16,Valiyamadhusnuhirasayanam,500g,221
H16A,Valiyamadhusnuhirasayanam,200g,88
H17,Vilwadi Lehyam,500g,193
H17A,Vilwadi Lehyam,200g,84
H19,Sathavarigulam,500g,196
H19A,Sathavarigulam,200g,84
H1A,Agasthyarasayanam,200g,63
H2,Amrithaprasam,500g,252
H20,Sukumararasayanam,500g,294
H20A,Sukumararasayanam,200g,119
H21,Hridyavirechananm,500g,168
H21A,Hridyavirechananm,200g,67
H22,Drakshadi Lehyam,500g,280
H22A,Drakshadi Lehyam,200g,112
H26,Sooranava Lehyam,200g,77
H28,Aswaghandhadi Lehyam,400g,158
H29,Panjajeerakagudam,250g,98
H2A,Amrithaprasam,200g,102
H3,Ajamamsarasayanam,400g,203
H30,Narasimharasayanam,200g,84
H31,Haridraghandam,50g,28
H32,Vyoshadi Vadakam,50g,28
H33,Pulimkuzhambu,100g,112
H34,Bhramarasayanam,500g,161
H34A,Bhramarasayanam,200g,63
H36,Soubhagyasundi Modakam,500g,277
H36A,Soubhagyasundi Modakam,200g,112
H36E,Soubhagyasundi Modakam,100g,56
H37,Vidaryadi Lehyam,500g,200
H37A,Vidaryadi Lehyam,200g,81
H4,Eladirasayanam,50g,81
H40,Kadaleerasayanam,500g,522
H40A,Kadaleerasayanam,200g,210
H5,Kallyanangulam,500g,151
H5A,Kallyanangulam,200g,60
H6,Kutaja Lehyam,500g,186
H6A,Kutaja Lehyam,200g,77
H7,Koosmandarasayanam,500g,203
H7A,Koosmandarasayanam,200g,84
H8,Gomoothrahareethaki,500g,154
H8A,Gomoothrahareethaki,200g,63
H9,Chincahadi Lehyam,500g,266
H9A,Chincahadi Lehyam,200g,109
K1,Amruthotharam KC,1kg,221
K10,Nirgunyadi KC,1kg,319
K10A,Nirgunyadi KC,500g,161
K10C,Nirgunyadi KC,250g,81
K11,Nisakathakadi KC,1kg,231
K11A,Nisakathakadi KC,500g,116
K11C,Nisakathakadi KC,250g,60
K12,Neelimooladi KC,1kg,585
K12A,Neelimooladi KC,500g,294
K12C,Neelimooladi KC,250g,147
K13,Neelithulasyadi KC,1kg,410
K13A,Neelithulasyadi KC,500g,207
K13C,Neelithulasyadi KC,250g,105
K14,Neelikaranjadi KC,1kg,693
K14A,Neelikaranjadi KC,500g,350
K14C,Neelikaranjadi KC,250g,175
K15,Dhanwantharam KC,1kg,224
K15A,Dhanwantharam KC,500g,116
K15C,Dhanwantharam KC,250g,60
K16A,Padolamooladi KSC,500g,147
K17,Panchathikthakam KC,1kg,231
K17A,Panchathikthakam KC,500g,116
K17C,Panchathikthakam KC,250g,60
K18,Pathyadi KC,1kg,214
K18A,Pathyadi KC,500g,109
K18C,Pathyadi KC,250g,56
K19,Punarnavadi KC,1kg,242
K19A,Punarnavadi KC,500g,123
K19C,Punarnavadi KC,250g,63
K1A,Amruthotharam KC,500g,112
K1C,Amruthotharam KC,250g,56
K2,Elakanadi KC,1kg,469
K20,Bruhathyadi KC,1kg,186
K20A,Bruhathyadi KC,500g,95
K20C,Bruhathyadi KC,250g,49
K21,Bhadradarvadi KC,1 kg,231
K21A,Bhadradarvadi KC,500g,116
K21C,Bhadradarvadi KC,250g,60
K22,Maharasnadi KC,1kg,312
K22A,Maharasnadi KC,500g,158
K22C,Maharasnadi KC,250g,81
K23,Manjishtadi KC,1kg,249
K23A,Manjishtadi KC,500g,126
K23C,Manjishtadi KC,250g,63
K24,Musthakaranjadi KC,1kg,273
K24A,Musthakaranchadi KC,500g,140
K24C,Musthakaranchadi KC,250g,70
K25,Musalikhadiradi KC,1kg,189
K25A,Musalikhadiradi KC,500g,95
K25C,Musalikhadiradi KC,250g,49
K26,Rasnerandadi KC,1kg,287
K26A,Rasnerandadi KC,500g,147
K26C,Rasnerandadi KC,250g,74
K27,Varanadi KC,1kg,207
K27A,Varanadi KC,500g,105
K27C,Varanadi KC,250g,53
K28,Vyoshadi KC,1kg,266
K28A,Vyoshadi KC,500g,137
K28C,Vyoshadi KC,250g,67
K29,Saptasaram KC,1Kg,207
K29A,Saptasaram KC,500g,105
K29C,Saptasaram KC,250g,53
K2A,Elakanadi KC,500g,238
K2C,Elakanadi KC,250g,119
K30,Padoladiganam KC,1Kg,1141
